
#天津,#genre#
BRTV卡酷少儿HD,http://123.117.35.133:88/rtp/239.3.1.189:8000 -- 0.58 MB/s
BRTV卡酷少儿HD,http://221.217.129.155:8180/rtp/239.3.1.189:8000 -- 0.17 MB/s
BRTV卡酷少儿HD,http://123.120.203.36:8888/rtp/239.3.1.189:8000 -- 0.52 MB/s
BRTV卡酷少儿HD,http://123.123.23.254:5400/rtp/239.3.1.189:8000 -- 0.26 MB/s
BRTV卡酷少儿HD,http://111.196.191.248:5555/rtp/239.3.1.189:8000 -- 0.19 MB/s
BRTV卡酷少儿HD,http://123.113.186.22:9000/rtp/239.3.1.189:8000 -- 0.46 MB/s
BRTV卡酷少儿HD,http://222.131.14.106:4000/rtp/239.3.1.189:8000 -- 0.62 MB/s
BRTV卡酷少儿HD,http://223.72.24.180:8012/rtp/239.3.1.189:8000 -- 0.57 MB/s
BRTV影视HD,http://111.199.2.123:8686/rtp/239.3.1.158:8000 -- 0.54 MB/s
BRTV影视HD,http://123.120.203.36:8888/rtp/239.3.1.158:8000 -- 0.49 MB/s
BRTV影视HD,http://222.131.14.106:4000/rtp/239.3.1.158:8000 -- 0.62 MB/s
BRTV影视HD,http://123.113.186.22:9000/rtp/239.3.1.158:8000 -- 0.47 MB/s
BRTV影视HD,http://123.123.23.254:5400/rtp/239.3.1.158:8000 -- 0.54 MB/s
BRTV影视HD,http://223.72.24.180:8012/rtp/239.3.1.158:8000 -- 0.57 MB/s
BRTV影视HD,http://111.196.191.248:5555/rtp/239.3.1.158:8000 -- 0.11 MB/s
BRTV影视HD,http://221.217.129.155:8180/rtp/239.3.1.158:8000 -- 0.14 MB/s
BRTV影视HD,http://123.117.35.133:88/rtp/239.3.1.158:8000 -- 0.57 MB/s
BRTV文艺HD,http://111.192.0.32:4022/rtp/239.3.1.242:8000 -- 0.15 MB/s
BRTV文艺HD,http://123.120.203.36:8888/rtp/239.3.1.242:8000 -- 0.51 MB/s
BRTV文艺HD,http://111.199.2.123:8686/rtp/239.3.1.242:8000 -- 0.64 MB/s
BRTV文艺HD,http://222.131.14.106:4000/rtp/239.3.1.242:8000 -- 0.61 MB/s
BRTV文艺HD,http://123.123.23.254:5400/rtp/239.3.1.242:8000 -- 0.49 MB/s
BRTV文艺HD,http://221.217.129.155:8180/rtp/239.3.1.242:8000 -- 0.19 MB/s
BRTV文艺HD,http://123.113.187.204:8000/rtp/239.3.1.242:8000 -- 0.11 MB/s
BRTV文艺HD,http://123.113.186.22:9000/rtp/239.3.1.242:8000 -- 0.46 MB/s
BRTV文艺HD,http://223.72.24.180:8012/rtp/239.3.1.242:8000 -- 0.57 MB/s
BRTV文艺HD,http://123.117.35.133:88/rtp/239.3.1.242:8000 -- 0.57 MB/s
BRTV新闻HD,http://111.199.2.123:8686/rtp/239.3.1.159:8000 -- 0.63 MB/s
BRTV新闻HD,http://123.117.35.133:88/rtp/239.3.1.159:8000 -- 0.58 MB/s
BRTV新闻HD,http://222.131.14.106:4000/rtp/239.3.1.159:8000 -- 0.63 MB/s
BRTV新闻HD,http://123.113.186.22:9000/rtp/239.3.1.159:8000 -- 0.47 MB/s
BRTV新闻HD,http://221.217.129.155:8180/rtp/239.3.1.159:8000 -- 0.61 MB/s
BRTV新闻HD,http://111.192.0.32:4022/rtp/239.3.1.159:8000 -- 0.14 MB/s
BRTV新闻HD,http://223.72.24.180:8012/rtp/239.3.1.159:8000 -- 0.57 MB/s
BRTV新闻HD,http://123.120.203.36:8888/rtp/239.3.1.159:8000 -- 0.50 MB/s
BRTV新闻HD,http://123.123.23.254:5400/rtp/239.3.1.159:8000 -- 0.19 MB/s
BRTV生活HD,http://221.217.129.155:8180/rtp/239.3.1.117:8000 -- 0.61 MB/s
BRTV生活HD,http://123.123.23.254:5400/rtp/239.3.1.117:8000 -- 0.33 MB/s
BRTV生活HD,http://111.196.191.248:5555/rtp/239.3.1.117:8000 -- 0.13 MB/s
BRTV生活HD,http://223.72.24.180:8012/rtp/239.3.1.117:8000 -- 0.57 MB/s
BRTV生活HD,http://111.199.2.123:8686/rtp/239.3.1.117:8000 -- 0.62 MB/s
BRTV生活HD,http://123.120.203.36:8888/rtp/239.3.1.117:8000 -- 0.53 MB/s
BRTV生活HD,http://123.113.186.22:9000/rtp/239.3.1.117:8000 -- 0.47 MB/s
BRTV生活HD,http://111.192.0.32:4022/rtp/239.3.1.117:8000 -- 0.12 MB/s
BRTV生活HD,http://222.131.14.106:4000/rtp/239.3.1.117:8000 -- 0.63 MB/s
BRTV生活HD,http://123.117.35.133:88/rtp/239.3.1.117:8000 -- 0.57 MB/s
BRTV纪实科教HD,http://222.131.14.106:4000/rtp/239.3.1.115:8000 -- 0.62 MB/s
BRTV纪实科教HD,http://111.199.2.123:8686/rtp/239.3.1.115:8000 -- 0.65 MB/s
BRTV纪实科教HD,http://123.123.23.254:5400/rtp/239.3.1.115:8000 -- 0.16 MB/s
BRTV纪实科教HD,http://123.113.186.22:9000/rtp/239.3.1.115:8000 -- 0.48 MB/s
BRTV纪实科教HD,http://223.72.24.180:8012/rtp/239.3.1.115:8000 -- 0.58 MB/s
BRTV纪实科教HD,http://111.196.191.248:5555/rtp/239.3.1.115:8000 -- 0.11 MB/s
BRTV纪实科教HD,http://123.120.203.36:8888/rtp/239.3.1.115:8000 -- 0.52 MB/s
BRTV纪实科教HD,http://111.192.0.32:4022/rtp/239.3.1.115:8000 -- 0.10 MB/s
BRTV纪实科教HD,http://221.217.129.155:8180/rtp/239.3.1.115:8000 -- 0.25 MB/s
BRTV纪实科教HD,http://123.117.35.133:88/rtp/239.3.1.115:8000 -- 0.58 MB/s
BRTV财经HD,http://223.72.24.180:8012/rtp/239.3.1.116:8000 -- 0.57 MB/s
BRTV财经HD,http://222.131.14.106:4000/rtp/239.3.1.116:8000 -- 0.58 MB/s
